Königswusterhausen,DE,185,200,Stimme der DDR
Wöbbelin,DE,611,250,Stimme der DDR
Suhl (Wachenbrunn),DE,692,250,Stimme der DDR
Burg bei Magdeburg,DE,782,250,Stimme der DDR
Berlin,DE,1358,250,Stimme der DDR
Schwerin,DE,529,220,DDR 1
Greifswald,DE,629,10,DDR 1
Leipzig,DE,575,120,DDR 1
Rostock,DE,557,10,DDR 1
Suhl,DE,629,20,DDR 1
Cottbus,DE,746,20,DDR 1
Berlin,DE,881,100,DDR 1
Dresden,DE,1043,220,DDR 1
Burg bei Magdeburg,DE,1570,250,DDR 1
Berlin Köpenik,DE,728,250,DDR 2
Potsdam,DE,656,20,DDR 2
Bernburg,DE,1385,20,DDR 2
Burg bei Magdeburg,DE,263,200,Radio Volga
Königswusterhausen,DE,263,100,Radio Volga
Burg bei Magdeburg,DE,908,250,R. Moscow Foreign Sce.